正文,真实值,预测值
目的 探讨 口腔 护理 教学 中 团队 基础 学习 方法 教学效果 方法 选取 四川省 人民 医院 口腔科 口腔 护理 培训 实习 护士 名 方法 授课 培训 团队 学习效果 课堂 参与度 学生 接受度 评估 团队 测试 成绩 ± 分 教学 期末 测试 成绩 ± 分 高于 学习 测试 成绩 差异 统计学 意义 实施 教学模式 学生 课堂 参与度 评分 高于 实施 前 差异 统计学 意义 学生 接受度 满意度 偏 中性 结论 教学模式 有利于 提高 教学效果 提高 课堂 参与度 学生 自主 学习 团队 合作 能力 培养 值得 口腔 护理 教学 中 推广,0,[0.00191381]
目的 口腔 种植 修复 牙列 缺损 临床 效果 分析 探讨 方法 选取 例 年 月 年 月 我院 接受 口腔 种植 修复 治疗 牙列 缺损 患者 植入 种植体 枚 月 实施 义齿 种植 修复 术后 定期检查 患者 植牙 美观 状态 治疗 效果 牙周 软组织 健康 状态 治疗 满意度 患者 半年 随访 观察 发现 患者 未 发生 种植体 脱落 情况 种植体 年 累计 存留 率高达 患者 种植 成功率 患者 牙石 菌斑指数 超过 级 结论 口腔 种植 修复 治疗 牙列 缺损 舒适 美观 优势 患者 满意 值得 临床 推广,0,[0.00165002]
临床 全冠 修复 种植 正畸 牙周 影响 龈沟 液 成分 中 酶类 牙周组织 健康 密切相关 酶类 量 性质 变化 监测 牙周 疾病 发展 治疗 进程 指标 酶类 定量 重复 取样 稳定性 受 年龄 性别 因素 影响 最有 前景 诊断 信息 来源 本文 龈沟 液中 酶类 牙周 健康 相关性 研究 综述,0,[1.8432745e-05]
目的 分析 口腔 综合 防治 儿童 龋齿 病 正畸 治疗 中 疗效 方法 选取 我院 年 月 年 月 收治 龋齿 病 患儿 例 研究 对象 随机 分为 对照组 观察 组 例 对照组 给予 常规 正畸 治疗 观察 组在 对照组 基础 口腔 综合 防治 分析 两组 患者 疗效 观察 组 半年 龋齿 发生率 对照组 观察 组 半年 龋齿 平均 指数 ± 对照组 ± 观察 组 治疗 乳酸杆菌 总数 变形 链球菌 总数 对照组 低 结论 龋齿 病 患儿 给予 口腔 综合 防治 有利于 提高 疗效 降低 龋齿 病 发生率 值得 临床 推广,1,[0.99864346]
正 齿白 七分 俏 貌美 牙 为先 女 美齿 热情 越来越 高 牙齿 接触 最多 三餐 进食 食物 食物 影响 牙齿 洁白 笑容 灿烂 关键因素 食物 美齿 作用 列入 饮食 清单 草莓 草莓 一种 天然 美白 牙齿 水果 牙齿 坚固 含有 成分 牙齿 漂白 清洁 清除 牙齿 表面 污点 发酵粉,0,[0.00016119]
目的 探讨 知信行 模式 口腔 正畸 患者 卫生 宣教 中 效果 方法 选取 年 月 年 月 口腔科 实施 正畸 固定 治疗 患者 例 随机 分为 研究组 例 对照组 例 研究组 知信行 模式 患者 口腔卫生 宣教 对照组 采用 常规 健康 教育 模式 患者 治疗 前 治疗 月 治疗 月 治疗 月 时 调查 牙龈 指数 牙 菌斑指数 患者 口腔卫生 行为习惯 统计学 分析 治疗 过程 中 研究组 牙 菌斑指数 牙龈 指数 低于 对照组 患者 口腔卫生 行为习惯 高于 对照组 两组 间 差异 统计学 意义 结论 知信行 模式 健康 教育 改善 患者 不良 口腔卫生 情况 降低 患者 牙龈炎 牙周病 发生率,1,[0.99708563]
纳米 抗菌材料 一种 新型 医疗 材料 优秀 抗菌 作用 正畸 治疗 过程 中 越来越 多地 研究 现 纳米 抗菌材料 正畸 治疗 过程 中 抗菌 优势 简要 综述,0,[3.0333751e-05]
目的 探究 正畸 治疗 中 预防 牙釉质 脱矿 方法 方法 选取 年 月 年 月 广西 科技 大学 第一 附属 医院 收治 固定 矫治器 治疗 患者 例 入院 前均 矫治 病史 患者 随机 分为 第一组 第二组 每组 例 第一组 前 例 患者 即为 组 例 患者 即为 组 第二组 前 例 患者 即为 组 例 患者 即为 组 第一组 中 组 患者 刷牙 含氟 牙膏 组 患者 牙膏 第二组 中 组 患者 传统 直丝弓 矫治器 组 患者 自锁托槽 直丝弓 矫治器 统计 一组 患者 两种 防治 方法 牙釉质 脱矿 情况 分析 第一组 组 患者 预防 前 发生率 差异 统计学 意义 组 患者 预防 发生率 低于 组 差异 统计学 意义 第二组 组 患者 预防 前 发生率 差异 统计学 意义 组 患者 预防 发生率 低于 组 差异 统计学 意义 结论 患者 正畸 治疗 中 措施 预防 牙釉质 脱矿 含氟 制剂 更好 防治 作用 矫治器 二者 减少 患者 牙釉质 脱矿 发生,1,[0.91387653]
正 口腔 鳞癌 口腔 颌面部 常见 恶性肿瘤 预后 较差 年 生存率 临床 晚期 口腔 鳞癌 患者 年 生存率 低 恶性肿瘤 学科 综合 序列 治疗 模式 临床 医师 认可 重视 患者 个体 情况 包括 肿瘤 部位 病理 类型 侵犯 发展趋势 肿瘤 细胞 生物学 分子生物学 变化 计划 现有 学科,0,[2.0533915e-05]
目的 探讨 微型 种植体 支抗 口腔 正畸 效果 体会 方法 选取 年 月 年 月 我院 收治 行 口腔 正畸 治疗 例 患者 抽签 发 分为 甲组 给予 非 种植体 支抗 治疗 乙组 给予 微型 种植体 支抗 治疗 两组 治疗 效果 乙组 患者 中 切牙 倾角 差 磨牙 位移 中 切牙 凸距 差均 优于 甲组 两组 间 差异 统计学 意义 乙组 患者 不适 症状 发生率 低于 甲组 组间 差异 统计学 意义 结论 微型 种植体 支抗 口腔 正畸 治疗 效果显著 值得 临床 推广,1,[0.59752506]
目的 构建 含 变异 链球菌 表面 蛋白 区 编码 基因 葡聚糖 蛋白 葡聚糖 区 编码 基因 嵌合体 真核 表达 质粒 观察 哺乳动物 细胞 中 表达 方法 基因工程 技术 构建 嵌合体 真核 表达 质粒 采用 脂质体 转染 法将 转染 细胞 中 采用 免疫组化 法 检测 嵌合 蛋白 真核细胞 中 表达 重组 真核 表达 质粒 经酶切 测序 鉴定 证实 其所 携带 外源 基因 片段 目的 基因 片段 序列 同源性 免疫组化 染色 结果显示 转染 细胞 胞质 呈 棕 褐色 染色 检测 结果显示 分子量 嵌合 蛋白 正确 表达 结论 构建 成功 嵌合体 真核 表达 质粒 真核细胞 中 正确 表达 目的 蛋白,0,[0.00019258]
正 上海 利康 消毒 高科技 有限公司 国内 专业 消毒 灭菌 技术 医院 感染 控制技术 开发 企业 集团 创立 年 前身 中国人民解放军 第二军医大学 创建 专业 预防 医学 研究 消毒 保健 系列产品 生产 销售 科技型 企业 公司 历经 多载 发展 我国 消毒 领域 技术 实力雄厚 高新技术 企业 公司 现 拥有 余个 分公司 业务 营销 服务 网络覆盖 上海 北京 广州 四川 客户 提供 优质 产品 客户 提供 周到 服,0,[2.5172145e-05]
银杏 原产 我国 最为 古老 稀有 植物 研究 银杏叶 提取物 药用价值 经济 价值 大大增加 广泛应用 卫生 医药 食品 化妆品 领域 本文 银杏叶 提取物 活性 成分 药理作用 口腔医学 中 研究 作一 综述,0,[2.029585e-05]
口腔医学 专业 人才培养 目标 临床 岗位 需求 探索 模块化 教学法 口腔 修复 学 实习 教学 中 临床 常规 技能 分解 层次 式 连贯 教学 模块 学生 训练 小组 协作 教师 指导 手段 模块化 教学 培养 高素质 技能型 应用型 口腔医学 专业人才,0,[0.00098052]
基因 研究 抑 癌基因 多种 肿瘤 相关 多种 途径 诱导 肿瘤 细胞 凋亡 发挥 抑制 肿瘤 作用 基因 口腔 肿瘤 中 功能 机制 未 明 有待于 进一步 研究 基因 深入研究 将会 口腔 肿瘤 预防 诊断 治疗 预后 提供 新 思路,0,[2.0141197e-05]
我国 年 正式 步入 老龄化 社会 老年人 口腔 备受 关注 不容乐观 老年人 衰老 过程 中 口腔 组织 身体 部位 变得 脆弱 口腔 饮食 形象 息息相关 口腔 防治 保健 保健 老年人 提高 生活 质量 塑造 形象 至关重要 作用,0,[5.000524e-05]
目的 慈溪市 宗汉 街道社区 岁 儿童 第一 恒 磨牙 龋病 状况 制定 龋 病防治 措施 提供 参考 方法 选取 年 月 年 月 慈溪市 宗汉 街道社区 学校 名 岁 儿童 研究 对象 分析 儿童 第一 恒牙 磨牙 龋病 流行 状况 岁 岁 岁 岁 儿童 第一 恒磨 牙萌出 率 患 龋齿 率 窝沟 封闭 率 分为 结论 慈溪市 宗汉 街道社区 岁 儿童 第一 恒 磨牙 患 龋齿 率 高 窝沟 封闭 情况 差 应 进一步 儿童 龋 病防治 工作,0,[0.00450053]
目的 探讨 水 胶体 敷料 口腔 颌面 外科 长时间 手术 中经 鼻 气管 插管 患者 术后 鼻部 压疮 中 效果 方法 口腔 外科 例行 口腔 肿瘤 根治性 切除 游离 皮瓣 修复 术 患者 随机 分为 实验组 例 对照组 例 麻醉 诱导 后经 鼻 气管 插管 予 胶布 固定 鼻梁 实验组 另予 康惠尔 水胶 敷料 贴于 气管 导管 鼻 接触 部 术 前 记录 患者 情况 术 中 记录 手术 持续时间 术后 评价 鼻部 压疮 对照组 实验组 压疮 发生率 明显降低 压疮 程度 明显改善 结论 水胶 敷料 贴 降低 鼻部 压疮 发生率 口腔 颌面 外科 长时间 手术 麻醉 术 中 管理,1,[0.97114646]
厚朴 防龋 机制 中药 复合 防龋 研究 作一 综合 介绍 国内外 学者 厚朴 研究 厚朴 抗炎 抗肿瘤 心血管 作用 外 抑制 龋 菌 生长 变形 链球菌 干扰 代谢 抑制 葡糖 基转移酶 活性 阻碍 龋 菌 牙面 黏附 聚集 防龋 作用,0,[0.00010531]
正 种植 牙 临床 修复 缺失 牙 常规 方法 缺失 牙 功能性 修复 越来越 医生 关注 种植 牙 修复 软组织 美学 效果 缺失 牙 功能 美学 修复 种植 牙 软组织 美学 种植 修复 崭新 领域 本文 重建 种植 牙 软组织 美学 相关 研究进展 做 综述 提出 展望 临床 工作 提供 参考 口腔 种植 软组织 美学 标准 红 白 美学 种植 牙 美学 修复 两大金 标准 红色 美学 指 种植 牙 软组织 美学 红色 美,0,[2.2423481e-05]
目的 探讨 分析 坚固 固定术 联合 牵引 复位 固定术 治疗 口腔 颌面部 创伤性 骨折 临床 效果 方法 选取 年 月 年 月间 我院 收治 口腔 颌面部 创伤性 骨折 患者 例 研究 对象 采用 随机 数字 表法 分为 组 例 组 例 组 患者 实施 坚固 固定术 组 患者 实施 坚固 固定术 联合 牵引 复位 固定术 观察 两组 患者 临床 疗效 术后 并发症 发生率 两组 患者 临床 资料 回顾性 分析 组 例 患者 中 临床 疗效 判定 等级 优 患者 例 占 患者 总数 为良 患者 例 占 患者 总数 差 患者 例 占 患者 总数 治疗 优良率 组 例 患者 中 临床 疗效 判定 等级 优 患者 例 占 患者 总数 为良 患者 例 占 患者 总数 差 患者 例 占 患者 总数 治疗 优良率 组 患者 临床 疗效 优于 组 患者 差异 统计学 意义 组 例 患者 中 发生 皮 瘘 患者 例 发生 神经 损伤 患者 例 并发症 发生率 组 例 患者 中 发生 皮 瘘 患者 例 发生 神经 损伤 患者 例 发生 炎 性反应 患者 例 并发症 发生率 二者之间 差异 统计学 意义 结论 坚固 固定术 联合 牵引 复位 固定术 治疗 口腔 颌面部 创伤性 骨折 临床 效果显著 值得 临床 推广应用,1,[0.8767664]
无刷 直流电机 中 速度 转矩 测控 技术 高 速度 转矩 恒定 输出 相互 制约 矛盾 难以实现 速度 转矩 恒定 可调 口腔 种植 机为 研究 对象 国外 标准 口腔 种植 机 技术指标 提出 双 闭环 测控 方案 速度 恒定 输出 转矩 滞回 误差 稳定 输出 口腔 种植 机 结构 局限 扭矩 测试 控制 难点 采用 测控 定子 磁链 方法 扭矩 测控,0,[0.00017027]
笔者 一例 牙周病 患犬 基础 检查 血常规 生化 指标 检查 确诊 牙周炎 引发 心力衰竭 病情 保肝 利胆 对症 治疗 诊治 情况 报道,0,[0.00139621]
目的 观察 中西医 方法 治疗 糜烂 型 口腔 扁平苔藓 临床 疗效 方法 例 患者 随机 分为 组 例 对照组 采用 复方 氯己 含漱液 醋酸 曲安 奈德 局部 注射 维生素 口服 治疗 观察 组在 对照组 基础 上加用 愈疡 止痛 汤 治疗 组 疗程 周 临床 总 有效率 观察 组为 对照组 组 差异 统计学 意义 治疗 组 客观 指标 征 记分 疼痛 评分 生活 质量 评分 治疗 前下 观察 组 各项 指标 评分 低于 对照组 治疗 周 组 血清 肿瘤 坏死 因子 α 白细胞 介素 水平 治疗 前 下降 观察 组 指标 水平 降低 优于 对照组 结论 中西医 治疗 糜烂 型 口腔 扁平苔藓 提高 临床 疗效 免疫调节 优势,1,[0.99477404]
目的 分析 镍 钛 摇椅 弓 配合 Ⅱ 类 牵引 矫治 成人 安氏 Ⅱ 类 分类 错  临床 疗效 方法 采用 镍 钛 摇椅 弓 配合 Ⅱ 类 牵引 例 成人 安氏 Ⅱ 类 分类 患者 矫治 矫治 头影 测量 统计学 分析 例 患者 治疗 双侧 磨牙 呈 中 性关系 尖窝锁结 关系 覆牙合 覆盖 软组织 侧貌 改善 线头 影 测量 显示 治疗 角 减小 ° 距离 减小 前牙 覆  覆盖 减小 下颌 中 切牙 压低 外 下颌 磨牙 一定量 伸长 但面 高 增加 统计学 意义 结论 镍 钛 摇椅 弓 配合 Ⅱ 类 牵引 矫治 成人 安氏 Ⅱ 类 分类 错  方法 副作用 加以控制 满意 治疗 效果,0,[0.00157002]
目的 设计 评价 窝沟 封闭剂 临床 疗效 随机对照 试验 探讨 同类 试验 方案 规范性 设计 要点 设计 证据 等级 高 可靠性 强 临床试验 方案 提供 建议 方法 参阅 循证 医学 等级 高 窝 沟 封闭剂 临床 疗效 文献 临床 流行病学 研究 相关 文献 研究 对象 选择 评价 指标 对照 设置 假设检验 类型 样本量 估算 统计学 方法 质量 控制 伦理 程序 分析 阐述 临床试验 设计 应 研究 目的 临床 背景 制定 研究 方案 研究 药物 材料 特性 选择 合适 评价 指标 对照 设置 样本量 假设检验 类型 正确 统计分析 方法 规范 设计 临床试验 节省 人力 物力 时间 前提 可靠 试验 推广 结论 试验 设计 试验 过程 实施 试验 数据分析 前提 规范 临床试验 设计 深入研究 方法学 制定 完善 设计方案 促使 科研工作 经济 高效 准确 可靠 提高 科研成果 质量 保证,0,[0.00715586]
目的 探讨 神经 内镜 辅助 显微镜 技术 微血管 减压 术 治疗 原发性 三叉神经痛 疗效 方法 采用 枕下 乙状 窦后 入路 微血管 减压 术 治疗 原发 三叉神经痛 患者 例 术 中均 采用 神经 内镜 配合 手术 显微镜 显露 责任 血管 分离 后用 棉 隔开 责任 血管 行 感觉神经 根 切断 发现 责任 血管 例 例未 发现 责任 血管 例 蛛网膜 粘连 术后 随访 月 例 疼痛 消失 例 减轻 有效率 并发 面部 麻木 例 听力 下降 例 结论 神经 内镜 配合 显微镜 技术 遗漏 责任 血管 提高 治愈率 降低 术后 并发症 治疗 三叉神经痛 方法,0,[0.00118837]
目的 口腔 正畸 治疗 青少年 实施 牙周 护理 效果 研究 方法 选择 我院 接受 正畸 治疗 青少年 患者 例 分为 对照组 观察 组 每组 例 实施 常规 口腔 护理 牙周 护理 观察 组 患者 口腔 治疗 计划 总 时间 短于 对照组 口腔 正畸 治疗 期间 护理 满意度 高于 对照组 结论 牙周 护理 模式 接受 口腔 正畸 治疗 青少年 患者 实施 护理 临床 效果 非常明显,0,[0.13787924]
目的 构建 小鼠 慢 病毒 表达 载体 方法 采用 技术 体外 合成 小鼠 全长 基因 插入 重组 预先 插入 荧光 标记 基因 片段 质粒 中 阳性菌 落由 筛选 繁殖 转染 质粒 测序 鉴定 经慢 病毒 包装 转染 细胞 经由 筛选 高滴度 病毒 液 测序 结果显示 基因 共有 重组 慢 病毒 载体 共有 插 启动子 标记 序列 之间 位置 测序 结果表明 小鼠 基因 成功 构建 表达 慢 病毒 载体 中 结论 小鼠 基因 慢 病毒 表达 载体 正确 构建 载体 研究 小鼠 基因 特定 细胞 内过 表达 株 筛选 奠定 基础 作用 机制 研究 提供 用力 工具,0,[2.4953091e-05]
目的 观察 品管圈 活动 提升 急诊 重症 监护室 护士 执行 口气 插管 患者 口腔 护理 执行 率 效果 方法 成立 品管圈 选定 提升 护士 执行 口气 插管 患者 口腔 护理 执行 率 活动 主题 现状 调查 分析 影响 因素 拟定 对策 实施 措施 品管圈 活动 实行 品管圈 活动 护士 执行 口气 插管 患者 口腔 护理 操作 执行 率 提升 口腔 护理 知识 认知率 执行 操作 准确率 活动 前 提升 结论 品管圈 活动 提升 护士 执行 口腔 护理 执行 率 准确率 培养 科室 成员 解决问题 能力 增强 科室 凝聚力,0,[7.199618e-06]
目的 中国 麻风 患者 牙列 缺损 及牙列 缺失 情况 方法 江苏省 陕西省 湖南省 麻风 村 抽取 例 麻风 患者 检查 记录 受检者 缺牙 情况 缺牙率 高达 结论 麻风 患者 缺牙率 高 医务人员 应 重视 麻风 患者 口腔 健康,0,[0.0002443]
目的 研究 小鼠 诱导性 多能 干细胞 成骨细胞 分化 能力 观察 成骨 分化 能力 影响 方法 利用 体外 细胞培养 病毒 转染 方法 定量 组织化学 方法 检测 成骨 诱导 条件 中成 骨 相关 基因 蛋白 表达 变化 小鼠 经悬滴 培养 拟 胚体 成骨 诱导 条件 成骨细胞 分化 病毒 转染 影响 分化 潜能 对照组 相比 转染 矿化 结节 碱性 磷酸酶 活性 成骨 相关 基因 表达 明显增加 结论 成骨 诱导 液 培养 条件 小鼠 种子 细胞 成骨细胞 分化 表达 转录 因子 进一步 成骨 分化,0,[3.563769e-05]
狮王 细齿洁 牙龈 倍护 牙刷 新 开发 一款 高密度 植毛 呵护 牙龈 牙刷 植毛 数量 超过 根 非线性 有限元 分析 方法 分析 同等条件 细齿洁 牙龈 倍护 牙刷 牙龈 组织 更好 呵护,0,[0.00010982]
原发性 三叉神经痛 面部 三叉神经 分布 区域 反复 发作 阵发性 闪电 样 刀割 样 钻 刺样 火灼样 撕裂 样 剧烈 疼痛 责之于 肝 脾 肾三脏 张运克 教授 本病 治疗 重在 调和 肝 脾 柔筋 止痛 清肝泻 热 小柴胡 汤 芍药 甘草 汤 加减 临床 疗效,0,[0.00036767]
目的 探讨 分析 对行 口腔 颌面 手术 患者 监护 护理 临床 效果 方法 选取 我院 收治 例行 口腔 颌面 手术 患者 研究 对象 系统 监护 护理 观察 并发症 发生 情况 调查 护理 服务 满意度 例 患者 护理 服务 满意度 高 并发症 发生率 低 结论 对行 口腔 颌面 手术 患者 系统 监护 护理 降低 患者 术后 并发症 发生率 提高 患者 护理 服务 满意度 护患 关系 和谐 方法 值得 临床 推广应用,0,[0.00107201]
目的 探讨 综合 整体 护理 干预 对策 老年 口腔癌 患者 颌 颈 联合 根治术 患者 康复 影响 方法 年 月 年 月 收治 行 口腔癌 颌 颈 联合 根治术 治疗 岁 老年 口腔癌 患者 例 随机 数字 表法 分为 观察 组和 对照组 每组 例 组 患者 均行 口腔癌 颌 颈 联合 根治术 术后 对照组 给予 口腔癌 患者 相关 常规 护理 观察 组 给予 全程 连续性 综合 整体 护理 干预 观察 组 患者 术后 语音 恢复 情况 组 患者 本病 知晓 情况 综合 护理 质量 满意度 组 语音 功能 训练 训练 前 语音 清晰度 得分 提高 对照组 观察 组 提高 观察 组 患者 相关 知识 率 相关 技能 率及 遵医 高于 对照组 差异 统计学 意义 观察 组 患者 综合 护理 质量 满意度 评价 高于 对照组 结论 优 综合 整体 干预 护理 服务 口腔癌 患者 颌 颈 联合 根治术 患者 康复 促进作用,1,[0.99971086]
